daily_income,daily_expense,goal_type,goal_amount,daily_saving_capacity,recommended_daily_saving,months_to_reach_goal,profile_type
2771,1514,House Downpayment,739612,1257.0,506.08,18.76,rural
555,154,House Downpayment,887642,401.0,148.2,70.97,rural
463,207,Bike,135831,256.0,94.93,17.48,urban
378,109,Education,434745,269.0,98.01,56.51,rural
1088,713,Emergency Fund,109179,375.0,154.4,8.77,urban
1960,617,Gold,174082,1343.0,481.61,4.68,urban
1679,1378,Bike,98741,301.0,143.16,10.09,urban
1121,138,Education,202044,983.0,410.3,7.51,student
2721,1907,Bike,139683,814.0,286.57,5.3,rural
997,796,Emergency Fund,62929,201.0,85.17,11.1,rural
2816,1106,House Downpayment,1687408,1710.0,553.28,34.54,urban
327,267,House Downpayment,1624177,60.0,19.37,851.15,student
2372,1964,Bike,148224,408.0,160.87,11.96,rural
391,115,Bike,143400,276.0,122.78,17.87,rural
2885,1589,Marriage,309667,1296.0,447.16,8.04,urban
1867,1271,Education,453847,596.0,213.74,24.15,rural
437,306,Bike,131006,131.0,56.14,31.73,rural
1126,734,Emergency Fund,98829,392.0,153.46,7.57,rural
308,163,House Downpayment,625014,145.0,50.72,146.95,student
2833,1686,Bike,65781,1147.0,495.49,1.87,student
311,151,House Downpayment,1595599,160.0,67.55,347.47,rural
438,345,House Downpayment,1299034,93.0,33.3,433.44,rural
568,268,Education,178616,300.0,120.02,19.92,urban
600,133,Gold,168409,467.0,221.69,12.29,rural
1698,843,Emergency Fund,39427,855.0,387.49,1.45,urban
920,686,Marriage,377220,234.0,81.65,53.86,urban
469,154,Bike,113130,315.0,150.24,10.84,student
340,143,Bike,123871,197.0,63.88,19.16,urban
1505,1167,Gold,125002,338.0,136.9,13.21,student
808,705,Emergency Fund,96443,103.0,49.17,28.33,rural
1944,1357,Emergency Fund,104873,587.0,272.66,6.46,urban
2292,1075,Emergency Fund,103049,1217.0,407.18,2.76,rural
616,111,Marriage,259363,505.0,186.78,15.57,urban
2104,1577,Education,158604,527.0,181.37,9.65,student
1512,1128,Bike,67946,384.0,124.79,6.17,urban
310,106,Emergency Fund,22854,204.0,79.24,3.66,urban
1466,1041,Gold,77487,425.0,162.83,6.6,student
318,124,Education,333343,194.0,80.47,54.54,urban
1939,1562,Education,490134,377.0,127.86,44.25,rural
1458,1041,Education,272535,417.0,199.88,21.25,rural
761,418,Marriage,680286,343.0,134.97,70.88,urban
502,290,Emergency Fund,46751,212.0,84.73,6.95,student
2930,765,Bike,126064,2165.0,748.79,2.11,student
2544,1916,House Downpayment,1511455,628.0,259.72,87.31,student
2442,1998,Gold,135971,444.0,188.25,9.94,urban
1614,691,Gold,235648,923.0,314.79,8.71,rural
371,272,Education,133528,99.0,37.29,45.9,student
1674,1378,House Downpayment,600085,296.0,132.62,61.87,rural
887,786,Gold,73005,101.0,35.49,25.78,rural
602,496,Bike,103692,106.0,43.97,35.82,student
757,432,Marriage,416803,325.0,122.42,46.43,student
479,378,Marriage,540224,101.0,40.5,174.96,rural
1390,635,House Downpayment,860627,755.0,360.2,40.47,student
1416,574,House Downpayment,1783773,842.0,272.81,70.9,student
442,218,Bike,124156,224.0,84.03,17.68,student
1406,876,House Downpayment,1520244,530.0,249.45,89.38,rural
1134,741,Gold,259116,393.0,167.92,21.8,urban
2775,337,House Downpayment,1485301,2438.0,1049.39,18.45,student
2549,234,Emergency Fund,84981,2315.0,1008.05,1.28,urban
461,224,House Downpayment,1329964,237.0,98.07,176.06,rural
2341,408,Marriage,275173,1933.0,737.92,5.14,student
405,197,House Downpayment,1707950,208.0,69.43,278.52,urban
308,253,House Downpayment,732413,55.0,20.88,482.86,urban
2691,1421,Emergency Fund,104804,1270.0,450.76,2.96,student
411,225,Gold,168991,186.0,79.06,32.01,student
1261,686,Bike,87080,575.0,196.14,5.53,student
1327,504,Bike,85755,823.0,296.93,3.79,rural
754,607,Bike,92610,147.0,49.27,20.64,urban
1002,346,Marriage,224274,656.0,280.66,11.91,urban
407,168,Marriage,563835,239.0,89.79,76.55,rural
2145,153,House Downpayment,1241605,1992.0,824.91,22.09,student
634,558,House Downpayment,1338402,76.0,25.43,566.5,student
1930,1307,House Downpayment,1473595,623.0,270.81,82.91,urban
2564,799,Education,210917,1765.0,756.58,4.05,rural
916,656,House Downpayment,1001812,260.0,98.45,119.92,student
1420,1203,Emergency Fund,120028,217.0,72.68,17.98,student
1638,737,Emergency Fund,142523,901.0,393.71,5.0,student
1796,1179,House Downpayment,769152,617.0,238.66,45.09,urban
1268,268,Marriage,631185,1000.0,468.29,23.08,urban
645,576,Emergency Fund,74453,69.0,24.6,33.08,rural
562,108,Education,495659,454.0,215.31,34.04,rural
365,271,House Downpayment,1699379,94.0,30.27,615.66,student
573,395,Marriage,712964,178.0,74.15,135.54,rural
391,292,Education,381752,99.0,44.03,132.07,urban
607,183,Emergency Fund,67976,424.0,185.0,5.18,urban
1447,895,Emergency Fund,125936,552.0,199.88,7.16,rural
319,269,Marriage,613378,50.0,23.16,406.45,student
1630,1300,Marriage,343940,330.0,117.83,34.45,student
558,178,Marriage,379399,380.0,147.36,30.29,urban
933,768,Gold,269230,165.0,54.62,58.6,urban
2279,733,Gold,54097,1546.0,690.77,1.25,urban
2925,1240,Marriage,646437,1685.0,548.69,12.74,student
1957,1577,Emergency Fund,144635,380.0,133.68,13.39,urban
1483,1023,Education,352195,460.0,171.21,24.52,urban
508,451,House Downpayment,829218,57.0,24.08,477.63,student
1271,731,Bike,106755,540.0,219.98,5.95,rural
2575,1599,Gold,59191,976.0,324.06,2.07,student
372,268,Education,119100,104.0,41.11,37.06,rural
2066,1831,House Downpayment,947640,235.0,88.72,135.31,rural
2996,812,Marriage,307693,2184.0,722.65,4.94,student
1060,406,Emergency Fund,65807,654.0,224.09,3.64,student
366,255,Education,451818,111.0,37.63,132.91,urban
2056,1147,Gold,239692,909.0,385.55,8.03,student
1821,571,Bike,84029,1250.0,582.89,2.37,urban
1612,275,Gold,274666,1337.0,570.33,6.74,student
546,145,Marriage,773473,401.0,168.22,61.06,student
480,411,House Downpayment,973745,69.0,28.65,477.46,urban
2427,1004,Emergency Fund,78570,1423.0,590.71,2.01,student
331,180,Marriage,541556,151.0,53.71,118.93,urban
378,292,Gold,209540,86.0,38.43,84.01,rural
515,275,Marriage,274979,240.0,97.78,35.56,student
734,420,House Downpayment,811014,314.0,103.14,88.74,urban
1860,164,Emergency Fund,52212,1696.0,797.43,0.98,student
1534,1079,Bike,131549,455.0,191.67,8.69,rural
792,302,Emergency Fund,33294,490.0,204.77,2.06,student
317,282,House Downpayment,1245362,35.0,15.73,1115.37,rural
565,407,Emergency Fund,109995,158.0,65.53,24.08,student
2941,1119,House Downpayment,611674,1822.0,605.38,11.0,student
1480,1241,Gold,278169,239.0,96.9,39.29,student
2647,1606,Education,351822,1041.0,345.84,11.9,student
1498,796,House Downpayment,969131,702.0,233.77,45.85,student
335,162,Marriage,560061,173.0,80.21,103.76,rural
562,247,House Downpayment,1860146,315.0,111.55,203.77,student
599,104,Gold,250682,495.0,171.6,16.62,urban
568,319,Gold,188552,249.0,101.4,25.18,urban
814,611,Education,261248,203.0,75.14,45.45,rural
490,408,Emergency Fund,91769,82.0,38.64,34.63,student
502,398,Education,294093,104.0,41.28,96.52,urban
949,486,Emergency Fund,62317,463.0,165.84,4.41,urban
2074,371,House Downpayment,662120,1703.0,664.7,13.0,rural
805,475,Marriage,362486,330.0,117.39,35.44,urban
414,290,Gold,149954,124.0,41.89,39.0,rural
2106,1595,Gold,137218,511.0,172.08,9.83,student
866,403,House Downpayment,1174599,463.0,192.25,92.78,urban
2951,1921,Education,438040,1030.0,450.71,13.6,student
537,231,Gold,175156,306.0,129.77,20.77,urban
2212,191,Gold,57796,2021.0,809.11,0.97,student
387,167,Emergency Fund,63284,220.0,95.58,9.64,student
2596,1255,Bike,143663,1341.0,540.14,3.55,urban
1759,585,Gold,125355,1174.0,478.27,3.58,rural
2925,1386,House Downpayment,1273066,1539.0,492.75,26.4,rural
1716,903,Emergency Fund,29703,813.0,341.8,1.13,student
356,122,Emergency Fund,30504,234.0,84.26,4.26,rural
542,352,House Downpayment,972242,190.0,79.32,160.41,student
2235,619,Gold,278915,1616.0,752.18,6.16,rural
2438,1679,Education,491819,759.0,354.0,22.17,urban
437,254,Gold,95489,183.0,83.39,15.89,urban
2333,581,Bike,69286,1752.0,636.01,1.22,urban
351,258,Education,360748,93.0,38.23,136.28,student
746,172,Education,114653,574.0,211.69,7.18,student
442,317,Education,466042,125.0,44.14,130.73,student
1357,921,Bike,60065,436.0,170.71,4.58,urban
571,406,House Downpayment,1080878,165.0,68.36,203.2,urban
413,226,Bike,93902,187.0,72.52,16.69,rural
1843,927,Bike,89791,916.0,336.02,3.16,rural
1075,370,Bike,65224,705.0,241.98,3.21,student
578,149,Gold,131842,429.0,157.83,10.53,urban
1112,960,Bike,69150,152.0,67.04,14.2,urban
1817,401,Emergency Fund,81405,1416.0,469.48,1.8,student
400,248,Bike,83249,152.0,51.47,18.31,rural
342,110,House Downpayment,1373535,232.0,94.89,192.43,urban
2386,1468,Marriage,688992,918.0,356.29,25.76,urban
2807,2190,Education,150532,617.0,227.81,8.1,urban
2017,1034,Education,436394,983.0,455.85,13.93,urban
2115,1143,Education,478274,972.0,355.52,16.65,student
541,392,Emergency Fund,112976,149.0,53.81,24.66,student
2229,1069,Education,260242,1160.0,434.64,7.28,student
646,567,Gold,51015,79.0,27.04,19.7,student
437,190,House Downpayment,1791412,247.0,79.51,239.72,student
415,343,Education,182553,72.0,24.73,78.12,student
988,259,Marriage,314943,729.0,304.6,14.15,rural
479,309,Gold,238920,170.0,65.26,48.53,student
479,198,Marriage,436125,281.0,102.37,49.67,student
866,126,Bike,73314,740.0,275.75,3.51,urban
642,110,Marriage,787760,532.0,197.38,47.14,rural
2505,901,Education,475652,1604.0,762.64,9.04,urban
422,259,Bike,104848,163.0,54.42,21.27,urban
2454,1971,Gold,271213,483.0,188.6,17.61,student
2033,493,Bike,133091,1540.0,607.8,2.78,urban
310,187,Marriage,217357,123.0,40.34,58.37,urban
399,309,Emergency Fund,94291,90.0,37.13,34.23,student
2374,1878,Education,164196,496.0,205.39,11.69,urban
2411,750,Bike,51961,1661.0,603.61,1.13,student
2342,1072,Gold,189623,1270.0,478.0,5.03,urban
443,339,Bike,120539,104.0,41.16,36.63,rural
1551,926,Education,411024,625.0,284.86,23.93,urban
381,100,Bike,147544,281.0,93.92,18.39,rural
2143,948,House Downpayment,1219528,1195.0,525.46,31.89,student
2531,399,Gold,173726,2132.0,890.06,2.78,rural
931,272,Education,388478,659.0,253.44,20.06,rural
452,235,Gold,156732,217.0,91.98,24.44,rural
568,407,Gold,76147,161.0,70.42,15.58,rural
2017,746,Gold,278562,1271.0,454.28,6.67,urban
598,349,Bike,87332,249.0,111.8,10.94,rural
496,377,Education,106544,119.0,56.88,29.71,rural
2560,2183,Education,475818,377.0,152.7,42.72,urban
358,269,Marriage,799701,89.0,29.43,312.48,urban
1711,980,House Downpayment,1169402,731.0,263.62,51.15,rural
2649,2323,Emergency Fund,87974,326.0,135.15,9.28,rural
1969,347,Marriage,759673,1622.0,618.66,16.81,urban
1849,527,Education,447198,1322.0,446.5,11.83,rural
2073,1296,Bike,53275,777.0,287.99,2.1,urban
568,180,Gold,109445,388.0,132.35,10.31,rural
2448,1337,Gold,274896,1111.0,486.21,8.93,rural
897,108,Bike,70730,789.0,302.82,2.87,rural
2533,1628,Education,364835,905.0,321.43,12.17,rural
495,198,Bike,118936,297.0,130.58,12.66,rural
1929,699,Gold,69111,1230.0,584.84,2.0,student
1154,100,House Downpayment,1250980,1054.0,482.05,37.91,urban
586,413,House Downpayment,951084,173.0,64.15,193.13,rural
1194,129,Marriage,613263,1065.0,423.58,17.73,student
2387,2143,House Downpayment,1885679,244.0,113.64,234.7,student
575,386,Bike,135834,189.0,86.9,23.18,rural
424,168,Gold,193220,256.0,107.17,23.54,urban
2482,971,House Downpayment,1168092,1511.0,666.32,25.74,student
462,200,Gold,63490,262.0,117.97,7.32,urban
2181,836,Emergency Fund,138125,1345.0,506.45,3.44,rural
348,312,Marriage,667799,36.0,14.34,673.38,rural
1681,851,Emergency Fund,42227,830.0,317.88,1.76,urban
616,136,House Downpayment,1879364,480.0,155.19,126.44,urban
348,251,House Downpayment,1226952,97.0,34.76,430.78,student
445,331,Gold,159985,114.0,42.1,42.94,urban
1611,1002,Education,285915,609.0,285.72,14.22,rural
2151,438,Bike,90568,1713.0,799.39,1.71,student
2482,1606,Bike,61728,876.0,345.62,2.34,rural
893,284,Education,244958,609.0,253.36,12.4,rural
2511,308,House Downpayment,521875,2203.0,881.75,7.23,urban
1114,837,House Downpayment,1781115,277.0,127.03,204.02,urban
1012,172,Bike,131533,840.0,316.93,5.42,urban
2266,1006,Education,270060,1260.0,456.78,7.4,urban
367,313,House Downpayment,772130,54.0,24.54,478.07,rural
2613,2040,Bike,52046,573.0,258.48,3.32,student
1350,1192,Emergency Fund,33585,158.0,53.93,7.63,urban
2182,205,Bike,144260,1977.0,867.93,2.25,urban
349,209,House Downpayment,1694385,140.0,51.82,406.78,rural
311,202,House Downpayment,1663183,109.0,45.65,543.6,student
391,100,Education,132847,291.0,138.25,16.15,rural
2771,908,Bike,96301,1863.0,731.35,1.71,urban
443,186,Education,114103,257.0,91.61,14.46,rural
2890,1561,Gold,168731,1329.0,522.57,3.87,student
1798,1286,Gold,248228,512.0,228.45,15.28,urban
2510,674,Bike,103082,1836.0,600.46,1.98,student
313,255,Emergency Fund,113634,58.0,24.46,68.83,rural
313,209,Education,355464,104.0,45.6,123.74,urban
1495,1040,Education,497035,455.0,191.78,37.29,student
302,148,House Downpayment,1242633,154.0,71.59,265.81,rural
2471,2035,Bike,125040,436.0,191.37,9.14,student
897,200,House Downpayment,1061684,697.0,331.01,50.86,urban
545,154,Marriage,399342,391.0,176.8,32.82,student
2310,117,Bike,112647,2193.0,747.96,1.85,student
2175,400,Bike,147400,1775.0,728.98,3.02,rural
2506,678,Bike,92904,1828.0,762.22,1.82,student
1799,940,Gold,89905,859.0,363.76,3.36,urban
479,281,House Downpayment,1422438,198.0,87.0,243.74,rural
539,360,Marriage,434593,179.0,71.61,85.3,urban
1700,261,Marriage,770107,1439.0,688.02,17.98,student
2369,1903,House Downpayment,1530867,466.0,217.44,113.02,student
680,467,Bike,76097,213.0,82.0,12.74,urban
2597,599,House Downpayment,1025061,1998.0,812.79,17.71,student
1343,498,Marriage,765432,845.0,364.44,31.88,urban
826,184,Marriage,688988,642.0,269.82,38.05,urban
586,376,Bike,108761,210.0,75.23,18.62,rural
585,330,House Downpayment,793075,255.0,82.24,109.9,rural
1523,900,House Downpayment,558790,623.0,248.63,27.48,urban
2369,882,Gold,40258,1487.0,630.02,0.82,student
2637,1487,Bike,81572,1150.0,444.43,2.13,rural
630,450,Bike,86961,180.0,84.94,17.44,urban
1205,842,Marriage,297995,363.0,165.94,26.68,urban
415,172,Gold,91170,243.0,82.42,12.61,student
570,324,Emergency Fund,39337,246.0,104.28,5.0,student
563,450,Gold,108837,113.0,51.13,29.39,urban
373,121,Marriage,220067,252.0,95.0,30.14,urban
2589,1726,Emergency Fund,91267,863.0,354.84,3.55,student
398,202,House Downpayment,1878245,196.0,67.84,349.49,rural
2646,2166,Bike,53387,480.0,199.12,3.93,student
2931,433,Education,101624,2498.0,1087.28,1.46,student
453,193,House Downpayment,1398330,260.0,96.19,179.6,rural
1581,1329,Emergency Fund,146499,252.0,112.74,18.32,urban
1066,268,Bike,100486,798.0,313.11,3.89,rural
926,326,House Downpayment,760396,600.0,287.96,39.02,rural
956,571,Emergency Fund,50178,385.0,144.88,3.98,rural
1135,780,House Downpayment,1362455,355.0,156.04,136.34,urban
799,218,Education,362655,581.0,231.84,20.61,rural
957,800,House Downpayment,1965901,157.0,63.01,446.32,urban
1114,340,Emergency Fund,64059,774.0,357.7,2.69,student
389,200,Bike,84386,189.0,82.41,13.55,urban
894,319,Bike,128749,575.0,269.07,7.45,student
1427,259,Marriage,589676,1168.0,475.59,18.07,urban
1055,247,Gold,210787,808.0,379.33,7.97,rural
576,361,Bike,131558,215.0,85.26,18.8,urban
570,460,Gold,221348,110.0,50.25,68.45,student
878,610,Emergency Fund,141222,268.0,123.96,18.41,rural
1851,573,Marriage,507164,1278.0,447.06,14.21,student
480,311,Emergency Fund,96935,169.0,61.22,19.24,rural
536,296,Bike,100187,240.0,91.01,12.72,urban
2157,1617,Bike,55106,540.0,185.68,3.26,student
1598,896,Emergency Fund,23143,702.0,241.18,1.0,rural
445,354,Emergency Fund,113693,91.0,36.33,41.23,urban
2808,741,House Downpayment,1697120,2067.0,936.11,26.17,rural
394,161,Bike,101684,233.0,76.22,14.98,urban
567,425,Gold,285131,142.0,55.32,67.87,urban
555,460,Bike,90612,95.0,31.53,34.36,student
623,197,Education,286829,426.0,194.39,20.49,urban
397,204,Gold,208251,193.0,63.58,33.87,urban
445,209,Gold,138003,236.0,83.67,21.15,rural
374,228,Emergency Fund,91282,146.0,65.83,19.2,student
449,267,House Downpayment,821308,182.0,60.77,150.92,student
374,277,Gold,231831,97.0,40.14,86.04,rural
555,369,Bike,56283,186.0,77.81,9.28,student
1073,888,Education,210924,185.0,83.79,37.35,urban
370,313,Emergency Fund,142782,57.0,26.29,86.62,student
2825,1743,Gold,105655,1082.0,460.62,3.46,student
2781,1066,Emergency Fund,28427,1715.0,640.32,0.59,student
760,240,Emergency Fund,58806,520.0,173.41,4.06,rural
612,531,Gold,288357,81.0,30.89,122.28,rural
482,211,Emergency Fund,140611,271.0,123.03,18.23,rural
594,183,House Downpayment,1295502,411.0,177.52,98.87,rural
2480,486,Bike,120652,1994.0,720.61,1.9,student
1786,932,Marriage,557851,854.0,349.89,23.17,rural
2958,434,House Downpayment,794319,2524.0,837.98,10.79,rural
1437,715,Bike,54009,722.0,286.61,2.6,student
966,377,House Downpayment,805827,589.0,272.36,41.62,rural
1024,340,Marriage,534671,684.0,273.08,27.04,rural
1052,456,House Downpayment,1077814,596.0,281.99,62.76,urban
1057,146,Bike,83485,911.0,434.56,2.84,student
2643,1905,House Downpayment,903635,738.0,321.78,37.38,urban
1223,224,Emergency Fund,56346,999.0,426.03,1.84,student
2436,1902,Marriage,728989,534.0,237.41,44.27,student
508,184,Gold,42052,324.0,107.43,4.69,urban
2502,523,Bike,77046,1979.0,896.53,1.32,student
342,107,Bike,72657,235.0,105.45,10.71,urban
788,338,Education,473271,450.0,173.74,35.93,rural
1374,997,Bike,55815,377.0,174.56,5.22,rural
1743,166,Education,204144,1577.0,587.03,4.14,urban
373,122,Education,348809,251.0,106.39,46.78,rural
582,463,House Downpayment,1153386,119.0,56.88,328.63,rural
2001,417,Education,188020,1584.0,742.04,3.59,student
848,412,Bike,126922,436.0,170.16,8.8,student
360,289,Emergency Fund,62005,71.0,25.8,26.93,student
1223,187,Bike,71962,1036.0,374.53,2.19,student
951,118,Bike,140271,833.0,315.58,5.13,urban
308,107,Education,358494,201.0,87.75,61.39,rural
1732,1085,Education,289534,647.0,220.56,15.72,urban
982,554,Marriage,667560,428.0,137.3,53.83,rural
1827,1240,Gold,100383,587.0,247.16,6.27,urban
700,335,Gold,233198,365.0,134.78,22.9,urban
497,274,Marriage,679024,223.0,97.96,97.43,rural
2334,724,Bike,138961,1610.0,658.53,2.96,rural
403,233,Gold,252521,170.0,65.22,49.29,student
1151,1024,Education,448998,127.0,54.97,122.16,rural
1223,1073,House Downpayment,1059140,150.0,71.18,217.33,student
2662,664,Emergency Fund,55513,1998.0,891.88,0.95,rural
505,184,Bike,149925,321.0,144.54,16.91,urban
465,184,Emergency Fund,130987,281.0,96.49,15.73,rural
2360,1237,Emergency Fund,149240,1123.0,367.53,4.48,rural
1215,605,Marriage,619830,610.0,216.79,34.64,rural
621,355,House Downpayment,708346,266.0,91.45,93.07,rural
1415,784,Gold,277545,631.0,299.31,14.79,urban
2755,2359,House Downpayment,866880,396.0,170.8,66.08,rural
2672,338,House Downpayment,640382,2334.0,1084.44,8.74,urban
2001,646,House Downpayment,1818805,1355.0,480.83,45.51,student
386,244,Marriage,426186,142.0,56.74,102.59,urban
2387,841,Gold,232302,1546.0,637.33,5.15,student
1818,1131,Education,268692,687.0,285.64,12.01,urban
845,659,House Downpayment,1208330,186.0,84.63,222.17,rural
2740,1605,Education,319469,1135.0,418.92,9.31,urban
1952,1612,Emergency Fund,144730,340.0,117.62,15.24,urban
642,497,Bike,81071,145.0,46.85,19.69,rural
437,211,Bike,143793,226.0,72.81,22.27,rural
390,253,Marriage,424592,137.0,43.85,110.86,rural
1075,672,Gold,112078,403.0,143.69,9.68,rural
2683,604,Education,216069,2079.0,719.61,3.28,rural
2251,1492,Marriage,303327,759.0,363.76,13.74,rural
905,436,Marriage,202875,469.0,172.3,15.27,rural
1974,1532,Education,314000,442.0,155.91,25.14,rural
2592,677,Emergency Fund,131501,1915.0,910.48,2.12,rural
1460,341,House Downpayment,802012,1119.0,458.89,23.95,student
927,688,Education,174829,239.0,105.01,26.61,rural
2687,715,Emergency Fund,23350,1972.0,807.88,0.38,rural
1894,1468,House Downpayment,1295986,426.0,152.41,94.65,student
579,475,House Downpayment,1739077,104.0,47.97,521.18,urban
751,235,Marriage,517238,516.0,205.92,32.19,urban
1611,188,Marriage,405871,1423.0,541.8,8.61,student
1822,691,Emergency Fund,70703,1131.0,423.43,1.95,urban
409,192,Emergency Fund,118170,217.0,95.46,17.67,urban
2978,811,House Downpayment,1133318,2167.0,736.51,18.17,rural
1200,857,Education,463196,343.0,123.94,48.81,rural
2116,1657,Education,306665,459.0,157.58,22.92,rural
1422,982,House Downpayment,1644021,440.0,171.54,115.3,urban
476,125,Education,277607,351.0,118.37,25.44,student
2119,638,Marriage,411783,1481.0,639.05,9.21,urban
580,241,Marriage,548391,339.0,150.06,50.06,rural
2783,2025,Marriage,317767,758.0,336.6,12.71,rural
532,356,Gold,184485,176.0,74.99,32.62,student
1049,425,Emergency Fund,133696,624.0,221.08,7.49,student
1490,1339,House Downpayment,1818684,151.0,51.52,382.29,rural
2564,2283,Bike,57311,281.0,118.51,7.36,urban
2049,452,Bike,131233,1597.0,566.39,2.68,urban
560,297,Gold,97075,263.0,85.19,12.37,student
2909,994,Gold,60391,1915.0,785.76,1.14,student
1452,208,Gold,162666,1244.0,434.6,4.69,student
617,280,Emergency Fund,49115,337.0,112.69,4.43,student
1246,1056,Emergency Fund,22185,190.0,67.06,4.23,rural
1914,275,House Downpayment,1542299,1639.0,691.01,32.94,rural
312,168,Gold,101297,144.0,52.17,23.62,urban
561,359,Gold,254946,202.0,76.4,43.12,student
1371,436,Bike,122877,935.0,438.12,4.53,student
1764,160,Gold,129003,1604.0,529.38,2.62,rural
897,151,Gold,84187,746.0,313.28,3.45,rural
1063,599,Gold,173371,464.0,180.91,12.02,rural
1446,1050,Emergency Fund,89245,396.0,145.49,8.06,rural
562,115,Gold,168699,447.0,181.36,12.59,rural
1509,1057,House Downpayment,745103,452.0,181.32,58.42,rural
2997,2246,Bike,120767,751.0,347.91,5.12,urban
2688,2023,Education,335780,665.0,228.06,17.55,urban
959,642,Emergency Fund,97290,317.0,103.87,10.35,urban
510,282,Marriage,200567,228.0,76.06,30.18,rural
2590,251,Marriage,224564,2339.0,907.96,3.13,student
370,180,Education,325360,190.0,63.21,55.23,student
1217,841,House Downpayment,1487811,376.0,154.85,130.61,urban
454,393,Emergency Fund,136039,61.0,26.84,78.45,rural
1706,659,Emergency Fund,111746,1047.0,439.92,3.92,urban
590,230,Education,242454,360.0,116.9,21.4,student
1062,743,Emergency Fund,60688,319.0,134.74,5.93,urban
452,162,Bike,98048,290.0,137.25,12.1,student
616,465,Marriage,313978,151.0,49.68,73.39,student
964,820,Marriage,261393,144.0,54.34,58.83,student
2450,1670,House Downpayment,1321736,780.0,288.6,54.8,rural
517,405,Emergency Fund,20597,112.0,50.62,6.56,student
341,144,Education,452340,197.0,88.55,78.78,student
350,145,Education,347970,205.0,93.35,54.55,student
588,248,Education,133552,340.0,151.3,12.53,rural
1373,645,Emergency Fund,133261,728.0,271.09,6.03,urban
908,368,Marriage,521914,540.0,199.3,34.8,student
743,571,Marriage,399972,172.0,60.33,79.13,urban
329,261,Gold,177310,68.0,22.23,79.09,rural
692,560,House Downpayment,1064483,132.0,52.14,294.55,student
460,143,House Downpayment,1115463,317.0,148.8,115.75,rural
371,151,Bike,90009,220.0,85.79,12.83,student
476,296,Gold,273704,180.0,61.18,47.01,student
1700,496,Marriage,773127,1204.0,456.67,20.91,student
2191,1014,Education,203017,1177.0,394.3,5.42,urban
2161,325,Education,138977,1836.0,657.36,2.32,rural
745,598,Emergency Fund,62806,147.0,49.36,14.93,student
1423,516,Bike,94520,907.0,386.58,3.55,rural
808,539,Education,333835,269.0,103.09,40.58,rural
1481,599,Bike,87456,882.0,338.15,3.28,urban
592,475,House Downpayment,1222119,117.0,46.04,352.29,rural
1237,234,Gold,108193,1003.0,382.9,3.95,urban
409,220,House Downpayment,1279179,189.0,79.65,220.91,urban
1923,1347,Bike,102949,576.0,185.02,6.46,student
563,340,Marriage,736717,223.0,72.53,105.21,urban
2069,172,House Downpayment,1291103,1897.0,753.73,22.89,student
311,119,Emergency Fund,86044,192.0,76.23,16.01,rural
437,214,Gold,200084,223.0,105.37,30.22,urban
2940,953,Emergency Fund,94983,1987.0,862.08,1.62,rural
2015,1306,Bike,106769,709.0,273.01,4.72,urban
527,124,House Downpayment,1653672,403.0,153.22,144.8,rural
2941,1127,House Downpayment,1139713,1814.0,680.52,21.25,urban
2646,192,Bike,138178,2454.0,1025.5,1.93,rural
569,269,Marriage,453657,300.0,117.88,46.69,urban
2690,944,Gold,70007,1746.0,631.37,1.46,rural
972,181,Emergency Fund,67330,791.0,276.0,2.77,student
304,128,Emergency Fund,114219,176.0,67.03,20.16,urban
556,439,Education,481547,117.0,43.22,145.87,student
2965,895,Bike,128014,2070.0,899.0,2.12,rural
344,308,Marriage,668836,36.0,16.29,677.1,rural
492,260,Gold,81996,232.0,97.12,12.81,student
2987,2413,Emergency Fund,20440,574.0,201.43,1.24,urban
684,557,Marriage,472586,127.0,50.05,117.98,rural
467,352,Marriage,500414,115.0,39.85,135.29,student
1052,633,Education,375209,419.0,142.15,30.97,student
515,208,Education,147757,307.0,133.85,14.61,rural
582,335,Emergency Fund,63281,247.0,93.19,9.23,rural
2316,2073,Marriage,761093,243.0,98.95,100.69,rural
344,201,Emergency Fund,94237,143.0,56.95,19.98,urban
434,117,Education,102725,317.0,115.84,10.11,student
550,392,Education,161787,158.0,65.08,35.87,urban
428,143,Bike,100561,285.0,119.48,10.87,rural
494,381,Bike,115600,113.0,39.39,32.63,rural
1859,359,Emergency Fund,41133,1500.0,640.52,0.88,rural
2968,1819,House Downpayment,1040707,1149.0,393.95,27.32,student
444,151,Marriage,297263,293.0,105.15,31.47,urban
436,280,House Downpayment,1725707,156.0,65.93,343.08,student
580,389,Gold,169270,191.0,76.11,29.83,student
907,449,House Downpayment,1073948,458.0,215.76,80.89,student
1653,844,Marriage,258532,809.0,318.47,10.41,student
338,191,Marriage,588572,147.0,70.39,138.22,student
579,351,Marriage,738293,228.0,79.92,109.47,student
2885,2499,Gold,295406,386.0,146.28,23.64,rural
2909,269,Education,375155,2640.0,1216.91,4.44,rural
341,226,House Downpayment,1852131,115.0,38.5,496.3,rural
538,281,House Downpayment,1255795,257.0,111.97,170.56,urban
2662,1400,Bike,64829,1262.0,585.44,1.6,rural
1538,555,Gold,98814,983.0,334.04,3.6,student
562,411,House Downpayment,989294,151.0,60.76,204.06,urban
339,284,Gold,274260,55.0,21.25,160.74,urban
1648,1170,Education,303991,478.0,209.0,20.54,rural
